Localidade;Rede;Taxa de Aprovação - 2015;Taxa de Aprovação - 2017;Taxa de Aprovação - 2019;SAEB - 2015;SAEB - 2017;SAEB - 2019;IDEB 2015;IDEB 2017;IDEB 2019;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Embu-Guaçu;Municipal;0,98;0,99;0,99;6,18;6,12;5,78;6,1;6,1;5,7;5,4;5,7;6,0;6,2;1º ao 5º ano;3515103
Embu-Guaçu;Pública;0,99;1,00;1,00;6,24;6,53;6,45;6,2;6,5;6,4;5,8;6,1;6,3;6,6;1º ao 5º ano;3515103
Emilianópolis;Municipal;0,99;0,98;1,00;5,76;6,57;7,42;5,7;6,4;7,4;4,9;5,2;5,5;5,7;1º ao 5º ano;3515129
Emilianópolis;Pública;0,99;0,98;1,00;5,76;6,57;7,42;5,7;6,4;7,4;4,9;5,2;5,5;5,7;1º ao 5º ano;3515129
Engenheiro Coelho;Municipal;0,92;0,92;0,94;5,86;6,42;6,70;5,4;5,9;6,3;5,5;5,8;6,0;6,3;1º ao 5º ano;3515152
Engenheiro Coelho;Pública;0,92;0,92;0,94;5,86;6,42;6,70;5,4;5,9;6,3;5,5;5,8;6,0;6,3;1º ao 5º ano;3515152
Espírito Santo do Pinhal;Estadual;0,98;0,97;0,98;6,40;6,75;6,44;6,3;6,6;6,3;6,5;6,7;6,9;7,1;1º ao 5º ano;3515186
Espírito Santo do Pinhal;Municipal;0,98;0,98;0,98;6,65;6,45;6,98;6,5;6,3;6,8;6,5;6,7;6,9;7,1;1º ao 5º ano;3515186
Espírito Santo do Pinhal;Pública;0,98;0,98;0,98;6,52;6,60;6,69;6,4;6,5;6,6;6,4;6,6;6,8;7,0;1º ao 5º ano;3515186
Espírito Santo do Turvo;Municipal;0,99;1,00;1,00;6,52;6,40;6,56;6,5;6,4;6,5;6,1;6,3;6,6;6,8;1º ao 5º ano;3515194
Espírito Santo do Turvo;Pública;0,99;1,00;1,00;6,52;6,40;6,56;6,5;6,4;6,5;6,1;6,3;6,6;6,8;1º ao 5º ano;3515194
Estrela d'Oeste;Municipal;0,97;0,95;0,95;7,23;7,36;7,26;7,0;7,0;6,9;6,9;7,1;7,3;7,5;1º ao 5º ano;3515202
Estrela d'Oeste;Pública;0,97;0,95;0,95;7,23;7,36;7,26;7,0;7,0;6,9;6,9;7,1;7,3;7,5;1º ao 5º ano;3515202
Estrela do Norte;Municipal;0,99;0,98;0,99;6,26;6,83;6,20;6,2;6,7;6,2;5,4;5,7;5,9;6,2;1º ao 5º ano;3515301
Estrela do Norte;Pública;0,99;0,98;0,99;6,26;6,83;6,20;6,2;6,7;6,2;5,4;5,7;5,9;6,2;1º ao 5º ano;3515301
