Localidade;Rede;IDEB 2015;IDEB 2017;IDEB 2019;IDEB 2021;Meta - 2015;Meta - 2017;Meta - 2019;Meta - 2021;Anos;Cod
Biritiba Mirim;Municipal;5,7;6,1;5,9;5,8;5,5;5,7;6,0;6,3;1º ao 5º ano;3506607
Biritiba Mirim;Pública;5,7;6,1;5,9;5,8;5,5;5,7;6,0;6,3;1º ao 5º ano;3506607
Boa Esperança do Sul;Municipal;4,9;5,7;5,4;5,5;5,6;5,9;6,1;6,4;1º ao 5º ano;3506706
Boa Esperança do Sul;Pública;4,9;5,7;5,4;5,5;5,6;5,9;6,1;6,4;1º ao 5º ano;3506706
Bocaina;Municipal;6,2;6,7;6,9;6,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3506805
Bocaina;Pública;6,2;6,7;6,9;6,2;5,9;6,1;6,4;6,6;1º ao 5º ano;3506805
Bofete;Estadual;;;;;5,7;6,0;6,2;6,5;1º ao 5º ano;3506904
Bofete;Municipal;5,5;5,8;5,7;;5,5;5,8;6,1;6,3;1º ao 5º ano;3506904
Bofete;Pública;5,5;5,8;5,7;;5,6;5,8;6,1;6,4;1º ao 5º ano;3506904
Boituva;Municipal;6,7;7,1;6,8;6,4;6,1;6,3;6,6;6,8;1º ao 5º ano;3507001
Boituva;Pública;6,7;7,1;6,8;6,4;6,1;6,3;6,6;6,8;1º ao 5º ano;3507001
Bom Jesus dos Perdões;Municipal;6,6;6,9;6,7;6,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3507100
Bom Jesus dos Perdões;Pública;6,6;6,9;6,7;6,1;6,3;6,5;6,7;6,9;1º ao 5º ano;3507100
Bom Sucesso de Itararé;Municipal;6,2;5,7;6,1;6,0;5,3;5,6;5,8;6,1;1º ao 5º ano;3507159
Bom Sucesso de Itararé;Pública;6,2;5,7;6,1;6,0;5,3;5,6;5,8;6,1;1º ao 5º ano;3507159
Borá;Municipal;;5,0;;;6,5;6,7;6,9;7,1;1º ao 5º ano;3507209
Borá;Pública;;5,0;;;6,5;6,7;6,9;7,1;1º ao 5º ano;3507209
Boracéia;Estadual;;;;;5,0;5,3;5,6;5,8;1º ao 5º ano;3507308
Boracéia;Municipal;5,9;6,9;7,0;6,4;6,7;6,9;7,1;7,3;1º ao 5º ano;3507308
Boracéia;Pública;5,9;6,9;7,0;6,4;5,0;5,3;5,6;5,8;1º ao 5º ano;3507308
Borborema;Estadual;6,1;6,4;6,5;6,1;6,7;6,9;7,1;7,3;1º ao 5º ano;3507407
