cod_ibge;municipio;ano;de_00a03anos;de_04e05anos;de_06a10anos;de_11a14anos;de_15a17anos;populacao_total;ate17anos;demais_idades;partic_ate17anos
3504909;Bananal;2000;690;357;883;690;550;9.707;3.170;6.537;32,66
3505005;Barão de Antonina;2000;209;83;246;248;166;2.796;952;1.844;34,05
3505104;Barbosa;2000;449;233;582;451;334;5.833;2.049;3.784;35,13
3505203;Bariri;2000;1.893;867;2.223;1.958;1.556;28.187;8.497;19.690;30,15
3505302;Barra Bonita;2000;2.004;1.059;2.864;2.528;2.034;35.439;10.489;24.950;29,6
3505351;Barra do Chapéu;2000;416;211;559;466;333;4.846;1.985;2.861;40,96
3505401;Barra do Turvo;2000;762;375;973;799;543;8.098;3.452;4.646;42,63
3505500;Barretos;2000;6.040;3.175;8.839;7.972;6.182;103.829;32.208;71.621;31,02
3505609;Barrinha;2000;2.112;962;2.432;2.094;1.591;24.150;9.191;14.959;38,06
3505708;Barueri;2000;17.537;8.303;20.433;16.765;13.168;207.372;76.206;131.166;36,75
3505807;Bastos;2000;1.439;730;1.911;1.607;1.210;20.573;6.897;13.676;33,52
3505906;Batatais;2000;3.155;1.721;4.452;3.634;2.879;51.041;15.841;35.200;31,04
3506003;Bauru;2000;19.997;10.104;25.936;22.101;18.277;315.493;96.415;219.078;30,56
3506102;Bebedouro;2000;4.824;2.496;6.632;5.719;4.481;74.743;24.152;50.591;32,31
3506201;Bento de Abreu;2000;164;76;206;185;137;2.394;768;1.626;32,08
3506300;Bernardino de Campos;2000;676;339;943;830;564;10.713;3.352;7.361;31,29
3506359;Bertioga;2000;2.723;1.208;2.861;2.289;1.714;29.771;10.795;18.976;36,26
3506409;Bilac;2000;313;171;451;386;332;6.082;1.653;4.429;27,18
3506508;Birigui;2000;5.558;2.908;7.585;6.468;5.281;94.098;27.800;66.298;29,54
3506607;Biritiba Mirim;2000;2.090;1.011;2.528;2.069;1.593;24.579;9.291;15.288;37,8
3506706;Boa Esperança do Sul;2000;1.013;506;1.251;993;756;12.551;4.519;8.032;36,01
3506805;Bocaina;2000;632;298;782;697;550;9.419;2.959;6.460;31,42
3506904;Bofete;2000;542;298;752;578;441;7.338;2.611;4.727;35,58
3507001;Boituva;2000;2.405;1.189;3.143;2.736;2.116;34.240;11.589;22.651;33,85
3507100;Bom Jesus dos Perdões;2000;1.016;529;1.292;1.004;831;13.275;4.672;8.603;35,19
3507159;Bom Sucesso de Itararé;2000;367;175;394;280;203;3.221;1.419;1.802;44,05
3507209;Borá;2000;43;29;83;63;46;795;264;531;33,21
3507308;Boracéia;2000;246;129;348;301;224;3.736;1.248;2.488;33,4
3507407;Borborema;2000;790;377;1.018;944;784;13.183;3.913;9.270;29,68
3507456;Borebi;2000;169;77;190;152;106;1.927;694;1.233;36,01
3507506;Botucatu;2000;6.917;3.478;9.080;7.870;6.407;108.124;33.752;74.372;31,22
3507605;Bragança Paulista;2000;8.176;4.218;10.881;9.161;7.435;124.766;39.871;84.895;31,96
